Fecha	Magnitud Ml	Longitud	Latitud	Municipio	Profundidad Km	Estado
04/05/2017	1,2	-76,265	7,15	DABEIBA	0	Revisado
04/05/2017	1,3	-76,138	7,07	DABEIBA	0	Revisado
04/05/2017	1,6	-76,223	6,828	URAMITA	0	Revisado
04/05/2017	1,3	-75,101	6,912	AMALFI	4	Revisado
04/05/2017	1,3	-75,113	6,895	AMALFI	5,2	Revisado
04/05/2017	1,3	-74,298	6,123	PUERTO NARE	22,7	Revisado
04/05/2017	1,3	-74,222	7,137	YONDO	4	Revisado
05/05/2017	1,5	-74,521	6,95	REMEDIOS	31,4	Revisado
05/05/2017	1,5	-76,634	6,986	MURINDO	9,3	Revisado
05/05/2017	1,8	-75,314	7,507	CACERES	18,8	Revisado
06/05/2017	1,2	-76,639	6,649	VIGIA DEL FUERTE	22,6	Revisado
07/05/2017	2,1	-76,653	6,838	MURINDO	0	Revisado
07/05/2017	2	-76,174	7,082	DABEIBA	0	Revisado
07/05/2017	2,1	-76,225	6,828	URAMITA	0	Revisado
08/05/2017	1,1	-76,072	6,846	FRONTINO	2,5	Revisado
08/05/2017	1,7	-74,792	6,457	CARACOLI	4,5	Revisado
08/05/2017	1,3	-75,221	6,849	GUADALUPE	17,1	Revisado
09/05/2017	1,4	-76,204	7,205	DABEIBA	0	Revisado
09/05/2017	1,6	-75,842	6,488	SANTA FE ANTIOQUIA	2,4	Revisado
09/05/2017	1,2	-76,259	6,829	URAMITA	0	Revisado
09/05/2017	1,5	-75,398	6,731	SANTA ROSA DE OSOS	4	Revisado
09/05/2017	1,5	-74,838	5,84	PUERTO TRIUNFO	3	Revisado
10/05/2017	1,8	-75,233	6,375	CONCEPCION	7,3	Revisado
10/05/2017	2,2	-74,612	5,873	PUERTO TRIUNFO	4,1	Revisado
11/05/2017	,8	-73,937	6,821	YONDO	23,2	Revisado
11/05/2017	1,8	-75,887	7,039	PEQUE	0	Revisado
12/05/2017	3,2	-74,082	7,013	YONDO	2	Revisado
12/05/2017	1,2	-76,347	6,959	DABEIBA	6	Revisado
12/05/2017	,7	-75,97	6,988	PEQUE	0	Revisado
12/05/2017	1,5	-75,164	7,771	CAUCASIA	8,2	Revisado
12/05/2017	2,3	-75,222	7,34	CACERES	14,7	Revisado
12/05/2017	2	-74,802	6,471	CARACOLI	10,8	Revisado
13/05/2017	1,6	-76,15	7,068	DABEIBA	1,4	Revisado
13/05/2017	,9	-75,821	7,146	ITUANGO	4	Revisado
13/05/2017	,8	-74,407	6,68	PUERTO BERRIO	30	Revisado
13/05/2017	1,9	-76,868	6,637	VIGIA DEL FUERTE	32	Revisado
13/05/2017	2,7	-76,221	7,174	DABEIBA	0	Revisado
13/05/2017	2,2	-76,225	7,177	DABEIBA	0	Revisado
13/05/2017	1,3	-76,208	7,163	DABEIBA	0	Revisado
13/05/2017	1,7	-76,218	6,953	DABEIBA	10,4	Revisado
14/05/2017	2,1	-76,745	6,572	VIGIA DEL FUERTE	17,6	Revisado
14/05/2017	1	-74,039	6,961	YONDO	90	Revisado
14/05/2017	2,2	-76,687	6,911	MURINDO	0	Revisado
14/05/2017	2,5	-76,923	6,561	VIGIA DEL FUERTE	15,1	Revisado
15/05/2017	1,2	-75,968	5,957	SALGAR	44,4	Revisado
15/05/2017	1,7	-75,957	5,785	BETANIA	63,9	Revisado
15/05/2017	1,2	-76,142	6,906	URAMITA	0	Revisado
15/05/2017	1,6	-74,603	6,612	MACEO	4	Revisado
16/05/2017	1,7	-75,802	6,297	EBEJICO	44,1	Revisado
16/05/2017	1,5	-76,186	6,838	URAMITA	0	Revisado
18/05/2017	1,3	-76,01	5,985	SALGAR	44,2	Revisado
18/05/2017	1,3	-75,291	7,539	CACERES	42,9	Revisado
18/05/2017	2,3	-75,137	7,353	ANORI	16,5	Revisado
18/05/2017	1,4	-74,64	6,595	MACEO	4,1	Revisado
18/05/2017	2,6	-75,65	7,291	ITUANGO	4,4	Revisado
19/05/2017	1,6	-76,251	7,202	MUTATA	,4	Revisado
19/05/2017	1,2	-76,044	7,139	PEQUE	20,4	Revisado
19/05/2017	1,9	-76,01	7,262	ITUANGO	0	Revisado
19/05/2017	2	-76,187	6,887	URAMITA	0	Revisado
19/05/2017	1,9	-76,237	6,828	URAMITA	0	Revisado
20/05/2017	1,8	-75,655	7,294	ITUANGO	,1	Revisado
21/05/2017	1,3	-76,222	7,188	DABEIBA	0	Revisado
23/05/2017	2,2	-76,1	7,444	MUTATA	4	Revisado
23/05/2017	2,7	-75,994	7,317	ITUANGO	0	Revisado
23/05/2017	1,8	-76,047	5,709	BETANIA	62	Revisado
23/05/2017	1,9	-76,685	6,643	VIGIA DEL FUERTE	4	Revisado
23/05/2017	1,6	-74,881	5,956	SAN LUIS	4	Revisado
24/05/2017	2	-77,102	7,036	MURINDO	11,2	Revisado
24/05/2017	2,2	-75,912	7,193	ITUANGO	15,9	Revisado
25/05/2017	2,3	-76,69	6,868	MURINDO	0	Revisado
25/05/2017	1,4	-76,588	6,935	MURINDO	,1	Revisado
26/05/2017	1,9	-75,933	5,716	BETANIA	2	Revisado
27/05/2017	1,5	-74,063	6,978	YONDO	81,4	Revisado
27/05/2017	1,6	-76,661	6,765	MURINDO	0	Revisado
27/05/2017	1	-74,349	6,722	PUERTO BERRIO	59,7	Revisado
28/05/2017	2,2	-76,807	6,924	MURINDO	76	Revisado
29/05/2017	,9	-75,238	6,533	SANTO DOMINGO	4,9	Revisado
29/05/2017	1,6	-76,212	6,9	URAMITA	0	Revisado
29/05/2017	2,6	-76,813	6,882	MURINDO	20	Revisado
30/05/2017	1,6	-76,644	6,708	VIGIA DEL FUERTE	2,7	Revisado
30/05/2017	1	-76,494	6,694	FRONTINO	22,1	Revisado
31/05/2017	1,3	-74,492	5,809	PUERTO TRIUNFO	69,3	Revisado
31/05/2017	1,3	-76,029	7,107	PEQUE	0	Revisado
31/05/2017	1,7	-76,183	6,892	URAMITA	0	Revisado
31/05/2017	1,8	-74,464	7,608	EL BAGRE	24,4	Revisado
31/05/2017	1,3	-75,398	6,744	SANTA ROSA DE OSOS	4,2	Revisado
01/06/2017	1,3	-76,035	5,86	CIUDAD BOLIVAR	56	Revisado
01/06/2017	1,3	-74,715	6,536	MACEO	14,6	Revisado
01/06/2017	1,5	-74,86	5,87	SAN LUIS	4,7	Revisado
02/06/2017	1,3	-76,212	7,182	DABEIBA	0	Revisado
02/06/2017	1,9	-77,071	6,863	VIGIA DEL FUERTE	18	Revisado
02/06/2017	1,2	-74,843	6,694	YALI	51,3	Revisado
03/06/2017	1,4	-76,129	7,429	MUTATA	0	Revisado
03/06/2017	1,3	-74,42	6,283	PUERTO NARE	23,2	Revisado
03/06/2017	2,1	-76,582	6,936	MURINDO	3	Revisado
04/06/2017	1,4	-76,121	7,408	MUTATA	0	Revisado
05/06/2017	1,7	-76,696	6,918	MURINDO	12	Revisado
05/06/2017	1,2	-76,16	6,893	URAMITA	0	Revisado
05/06/2017	1,3	-76,067	6,886	URAMITA	3,8	Revisado
05/06/2017	1	-75,767	7,425	ITUANGO	4	Revisado
05/06/2017	1,7	-74,603	7,494	EL BAGRE	49,1	Revisado
06/06/2017	1,3	-74,937	6,999	AMALFI	1,7	Revisado
06/06/2017	1,2	-76,903	6,946	MURINDO	,3	Revisado
06/06/2017	1,7	-74,906	5,863	SAN LUIS	1,5	Revisado
07/06/2017	1	-74,329	7,223	SEGOVIA	3,9	Revisado
07/06/2017	1	-75,789	6,274	EBEJICO	18,3	Revisado
07/06/2017	2,4	-74,718	5,826	PUERTO TRIUNFO	4,2	Revisado
07/06/2017	1,1	-74,087	7,002	YONDO	12,6	Revisado
